Anther	Ear	Early prophase meiocytes	Embryo	Endosperm	Leaf	Pollen	Root	Seed	Shoot apical meristem	Stalk	Silk	Tassel	Vegetative apex	maxZ	modH	tissues
zma-MIR_N50a	3.43722297370575	-0.326579493794022	0.179307069329461	-0.326579493794022	-0.326579493794022	-0.326579493794022	-0.287835301874327	-0.326579493794022	-0.326579493794022	-0.326579493794022	-0.326579493794022	-0.326579493794022	-0.0628998032206654	-0.326579493794022	3.43722297370575	0.878159022009567	Anther
zma-MIR_N56a	1.18944066555681	-0.364165941187369	3.16324709919223	-0.364165941187369	-0.364165941187369	-0.364165941187369	-0.364165941187369	-0.364165941187369	-0.364165941187369	-0.364165941187369	-0.364165941187369	-0.364165941187369	-0.346862411687987	-0.364165941187369	3.16324709919223	0.917939795158297	Early prophase meiocytes
zma-MIR_N58a	0.873592703060185	-0.346600479040895	3.28561304543056	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	-0.346600479040895	3.28561304543056	0.813586218354584	Early prophase meiocytes
zma-MIR_N47a	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-1.44269502490755e-08	Root
zma-MIR_N57a	-0.215399264811627	-0.361470424534779	-0.361470424534779	-0.361470424534779	3.26582238853746	-0.359027129034318	-0.361470424534779	-0.361470424534779	0.923308250656273	-0.361470424534779	-0.361470424534779	-0.361470424534779	-0.361470424534779	-0.361470424534779	3.26582238853746	0.999412572972829	Endosperm
zma-MIR_N13c	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.186636047249765	-0.302031436802413	3.4581982497561	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.302031436802413	0.0507836023202134	-0.302031436802413	-0.302031436802413	3.4581982497561	0.591315904601526	Pollen
zma-MIR_N13a	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.186636047249765	-0.302031436802413	3.4581982497561	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.302031436802413	0.0507836023202134	-0.302031436802413	-0.302031436802413	3.4581982497561	0.591315904601526	Pollen
zma-MIR_N13b	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.186636047249765	-0.302031436802413	3.4581982497561	-0.302031436802413	-0.302031436802413	-0.302031436802413	-0.302031436802413	0.0507836023202134	-0.302031436802413	-0.302031436802413	3.4581982497561	0.591315904601526	Pollen
zma-MIR_N69a	-0.300849638396194	-0.341949226241219	-0.341949226241219	-0.19747335174889	3.44509403238524	0.112607480972887	-0.341949226241219	-0.264998786142743	-0.100075921617789	-0.341949226241219	-0.300659231763981	-0.341949226241219	-0.341949226241219	-0.341949226241219	3.44509403238524	1.27182302341731	Endosperm
zma-MIR_N70a	-0.28570321946803	-0.171716466611948	-0.28570321946803	-0.28570321946803	-0.28570321946803	-0.223923636620087	-0.28570321946803	-0.219492909368302	3.47216520728064	-0.28570321946803	-0.28570321946803	-0.28570321946803	-0.28570321946803	-0.28570321946803	3.47216520728064	0.421733979591664	Seed
zma-MIR_N75a	3.13684598725766	-0.385079701240484	1.2312060433884	-0.385079701240484	-0.385079701240484	-0.385079701240484	-0.140965299964546	-0.385079701240484	-0.385079701240484	-0.385079701240484	-0.385079701240484	-0.385079701240484	-0.376289718276671	-0.385079701240484	3.13684598725766	1.13956741964551	Anther
zma-MIR_N79a	0.478098573608199	-0.322751766570934	3.39437082352884	-0.322751766570934	-0.322751766570934	-0.32266309224374	-0.322751766570934	-0.322288639183965	-0.322751766570934	-0.322751766570934	-0.322751766570934	-0.322751766570934	-0.322751766570934	-0.322751766570934	3.39437082352884	0.675802346046353	Early prophase meiocytes
zma-MIR_N71a	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-1.44269502490755e-08	Seed
zma-MIR_N15b	-0.279838015275192	-0.287929172933322	-0.210050130749627	-0.287929172933322	-0.287929172933322	3.47030060598401	-0.287929172933322	-0.287929172933322	-0.287929172933322	-0.287929172933322	-0.274445351308152	-0.287929172933322	-0.114604552251137	-0.287929172933322	3.47030060598401	0.444937533122567	Leaf
zma-MIR_N15c	-0.279838015275192	-0.287929172933322	-0.210050130749627	-0.287929172933322	-0.287929172933322	3.47030060598401	-0.287929172933322	-0.287929172933322	-0.287929172933322	-0.287929172933322	-0.274445351308152	-0.287929172933322	-0.114604552251137	-0.287929172933322	3.47030060598401	0.444937533122567	Leaf
zma-MIR_N15a	-0.279838015275192	-0.287929172933322	-0.210050130749627	-0.287929172933322	-0.287929172933322	3.47030060598401	-0.287929172933322	-0.287929172933322	-0.287929172933322	-0.287929172933322	-0.274445351308152	-0.287929172933322	-0.114604552251137	-0.287929172933322	3.47030060598401	0.444937533122567	Leaf
zma-MIR_N11b	-0.345406960300574	-0.424559508759164	-0.170607111595381	-0.424559508759164	-0.424559508759164	-0.364725154400139	1.44248203972928	-0.245639422426168	-0.424559508759164	-0.424559508759164	-0.424559508759164	-0.373422661798983	3.02923583210611	-0.424559508759164	3.02923583210611	1.64046025108778	Tassel
zma-MIR_N116a	-0.274142984189885	-0.274142984189885	-0.274142984189885	-0.274142984189885	-0.274142984189885	-0.274142984189885	3.47338633456487	-0.274142984189885	-0.274142984189885	-0.274142984189885	-0.274142984189885	-0.18367052428625	-0.274142984189885	-0.274142984189885	3.47338633456487	0.161056162578642	Pollen
zma-MIR_N136a	-0.291740022325931	-0.291740022325931	-0.291740022325931	-0.291740022325931	-0.291740022325931	-0.291740022325931	3.46078685134278	-0.291740022325931	-0.291740022325931	-0.291740022325931	-0.291740022325931	-0.291740022325931	0.0400934165684005	-0.291740022325931	3.46078685134278	0.406550520411733	Pollen
zma-MIR_N142a	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	-0.267261241912424	3.47439614486152	-1.44269502490755e-08	Pollen
zma-MIR_N143a	-0.346183072321464	-0.306269717310489	-0.352443219372716	-0.352443219372716	-0.352443219372716	-0.352175621599891	0.448126934904101	-0.352443219372716	-0.352443219372716	-0.352443219372716	-0.289453958320303	-0.194430898220919	3.39651566305292	-0.241470013947656	3.39651566305292	1.17418555795882	Tassel
zma-MIR_N131a	-0.30461362229565	-0.30461362229565	-0.30461362229565	0.214348932799227	3.44101453474857	-0.30461362229565	-0.30461362229565	-0.30461362229565	-0.30461362229565	-0.30461362229565	-0.30461362229565	-0.30461362229565	-0.30461362229565	-0.30461362229565	3.44101453474857	0.534202274419975	Endosperm
zma-MIR_N17a	-0.296986601822318	-0.296986601822318	-0.296986601822318	-0.296986601822318	-0.0959415763647859	-0.271727890895088	3.46721113271826	-0.286051190692665	-0.296986601822318	-0.296986601822318	-0.296986601822318	-0.140611058364859	-0.296986601822318	-0.296986601822318	3.46721113271826	0.586485038158592	Pollen
zma-MIR_N144a	-0.265105471305602	-0.31281967748921	-0.31281967748921	-0.0725798031423658	3.46278124550033	-0.204503475255202	-0.31281967748921	-0.31281967748921	-0.31281967748921	-0.31281967748921	-0.31281967748921	-0.10521539839427	-0.31281967748921	-0.31281967748921	3.46278124550033	0.825853700305952	Endosperm
